date,CUSR0000SA0,CUSR0000SACE,CUSR0000SACL1E,CUSR0000SAF,CUSR0000SASLE,CUSR0000SEHF
1947-01-01,21.48,,,,,18.3
1947-02-01,21.62,,,,,18.3
1947-03-01,22.0,,,,,18.3
1947-04-01,22.0,,,,,18.3
1947-05-01,21.95,,,,,18.3
1947-06-01,22.08,,,,,18.2
1947-07-01,22.23,,,,,18.2
1947-08-01,22.4,,,,,18.3
1947-09-01,22.84,,,,,18.3
1947-10-01,22.91,,,,,18.3
1947-11-01,23.06,,,,,18.3
1947-12-01,23.41,,,,,18.4
1948-01-01,23.68,,,,,18.5
1948-02-01,23.67,,,,,18.5
1948-03-01,23.5,,,,,18.6
1948-04-01,23.82,,,,,18.6
1948-05-01,24.01,,,,,18.6
1948-06-01,24.15,,,,,18.7
1948-07-01,24.4,,,,,18.7
1948-08-01,24.43,,,,,18.8
1948-09-01,24.36,,,,,18.8
1948-10-01,24.31,,,,,18.9
1948-11-01,24.16,,,,,18.9
1948-12-01,24.05,,,,,18.9
1949-01-01,24.01,,,,,19.0
1949-02-01,23.91,,,,,19.1
1949-03-01,23.91,,,,,19.1
1949-04-01,23.92,,,,,19.2
1949-05-01,23.91,,,,,19.2
1949-06-01,23.92,,,,,19.2
1949-07-01,23.7,,,,,19.3
1949-08-01,23.7,,,,,19.3
1949-09-01,23.75,,,,,19.3
1949-10-01,23.67,,,,,19.3
1949-11-01,23.7,,,,,19.3
1949-12-01,23.61,,,,,19.3
1950-01-01,23.51,,,,,19.2
1950-02-01,23.61,,,,,19.2
1950-03-01,23.64,,,,,19.2
1950-04-01,23.65,,,,,19.2
1950-05-01,23.77,,,,,19.2
1950-06-01,23.88,,,,,19.2
1950-07-01,24.07,,,,,19.3
1950-08-01,24.2,,,,,19.2
1950-09-01,24.34,,,,,19.3
1950-10-01,24.5,,,,,19.2
1950-11-01,24.6,,,,,19.2
1950-12-01,24.98,,,,,19.2
1951-01-01,25.38,,,,,19.3
1951-02-01,25.83,,,,,19.3
1951-03-01,25.88,,,,,19.3
1951-04-01,25.92,,,,,19.2
1951-05-01,25.99,,,,,19.3
1951-06-01,25.93,,,,,19.3
1951-07-01,25.91,,,,,19.3
1951-08-01,25.86,,,,,19.3
1951-09-01,26.03,,,,,19.3
1951-10-01,26.16,,,,,19.3
1951-11-01,26.32,,,,,19.3
1951-12-01,26.47,,,,,19.4
1952-01-01,26.45,,,,,19.4
1952-02-01,26.41,,,,,19.4
1952-03-01,26.39,,,,,19.4
1952-04-01,26.46,,,,,19.4
1952-05-01,26.47,,,,,19.5
1952-06-01,26.53,,,,,19.5
1952-07-01,26.68,,,,,19.5
1952-08-01,26.69,,,,,19.6
1952-09-01,26.63,,,,,19.6
1952-10-01,26.69,,,,,19.7
1952-11-01,26.69,,,,,19.7
1952-12-01,26.71,,,,,19.8
1953-01-01,26.64,,,,,19.8
1953-02-01,26.59,,,,,19.8
1953-03-01,26.63,,,,,19.9
1953-04-01,26.69,,,,,19.9
1953-05-01,26.7,,,,,19.9
1953-06-01,26.77,,,,,19.9
1953-07-01,26.79,,,,,19.9
1953-08-01,26.85,,,,,20.0
1953-09-01,26.89,,,,,20.0
1953-10-01,26.95,,,,,20.0
1953-11-01,26.85,,,,,20.1
1953-12-01,26.87,,,,,20.0
1954-01-01,26.94,,,,,20.0
1954-02-01,26.99,,,,,20.1
1954-03-01,26.93,,,,,20.1
1954-04-01,26.86,,,,,20.1
1954-05-01,26.93,,,,,20.1
